Date,Category,Name,Country,Best Estimated Wealth,Age,Company Name/Industry,Family,Comments
7/22/91,,Suliman Saleh Olayan,Saudi Arabia,1,72,,,
7/22/91,,Al-Rajhi,Saudi Arabia,2.8,,,1,
7/22/91,,Saleh Abdullah Kamel,Saudi Arabia,1.1,,,,
7/22/91,,Abdul Latif Jameel,Saudi Arabia,2,,,,
7/22/91,,Bin Mahfouz,Saudi Arabia,2,,,1,
7/22/91,,Juffali,Saudi Arabia,1,,,1,
7/22/91,,Safra,Lebanon,1,,,1,
7/22/91,,Rafik B. Hariri,Lebanon,2.5,46,,,
7/22/91,,Vehbi M. Koc,Turkey,3,59,,,
7/22/91,,Nejat F. Eczacibasi ,Turkey,1,77,,1,
7/22/91,,Sabanci,Turkey,1.5,,,1,
7/22/91,,The Aga Khan IV,Citizen of the World,,54,,,